时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘,总得分,是否大分
2017/12/13 19:35,深圳马可波罗,浙江稠州银行,103,94,44,54,6.5,208.5,197,NO
2017/12/13 19:35,上海哔哩哔哩,南京同曦,97,106,47,45,9.5,218.5,203,NO
2017/12/13 19:35,北京首钢,广东东莞银行,95,90,51,33,2.5,198.5,185,NO
2017/12/13 19:35,辽宁本钢,九台农商银行,116,108,58,55,18.5,214.5,224,YES
2017/12/14 19:35,江苏肯帝亚,青岛国信双星,119,106,53,44,14.5,211.5,225,YES
2017/12/14 19:35,八一双鹿电池,山西汾酒股份,105,114,43,62,-7.5,197.5,219,YES
2017/12/14 19:35,浙江广厦控股,天津滨海云商,117,89,59,44,19.5,219.5,206,NO
2017/12/14 20:00,新疆喀什古城,北京农商银行,117,111,63,50,8.5,212.5,228,YES
2017/12/15 19:35,广州证券,浙江稠州银行,91,88,50,38,1.5,213.5,179,NO
2017/12/15 19:35,广东东莞银行,福建SBS,92,86,46,40,9.5,224.5,178,NO
2017/12/15 19:35,上海哔哩哔哩,辽宁本钢,79,98,42,49,-7.5,210.5,177,NO
2017/12/15 19:35,深圳马可波罗,九台农商银行,129,118,58,53,16.5,217.5,247,YES
2017/12/15 19:35,四川品胜,北京首钢,96,98,45,36,-3.5,204.5,194,NO
2017/12/15 19:35,南京同曦,山东高速,100,111,59,59,-8.5,214.5,211,NO
2017/12/16 19:35,北京农商银行,八一双鹿电池,91,84,46,36,10,184.5,175,NO
2017/12/16 19:35,浙江广厦控股,山西汾酒股份,133,113,59,57,15.5,229.5,246,YES
2017/12/16 19:35,天津滨海云商,江苏肯帝亚,98,118,50,61,-7.5,206.5,216,YES
2017/12/17 19:35,深圳马可波罗,辽宁本钢,92,89,46,47,-1.5,203.5,181,NO
2017/12/17 19:35,广东东莞银行,浙江稠州银行,108,102,48,50,8.5,198.5,210,YES
2017/12/17 19:35,九台农商银行,广州证券,139,132,60,67,-4.5,226.5,271,YES
2017/12/17 19:35,上海哔哩哔哩,山东高速,128,111,62,51,-7.5,209.5,239,YES
2017/12/17 19:35,福建SBS,四川品胜,105,103,42,44,7.5,227.5,208,NO
2017/12/17 19:35,南京同曦,青岛国信双星,91,95,38,32,10.5,224.5,186,NO
2017/12/17 20:00,新疆喀什古城,北京首钢,105,98,44,44,8.5,212.5,203,NO
2017/12/19 19:35,北京首钢,八一双鹿电池,95,92,46,49,13.5,183.5,187,YES
2017/12/19 19:35,福建SBS,新疆喀什古城,131,125,59,54,-3.5,230.5,256,YES
2017/12/19 19:35,浙江稠州银行,四川品胜,142,112,70,54,12.5,209.5,254,YES
2017/12/19 19:35,九台农商银行,广东东莞银行,86,102,39,51,-8.5,214.5,188,NO
2017/12/19 19:35,北京农商银行,浙江广厦控股,108,116,58,57,-8.5,218.5,224,YES
2017/12/19 19:35,天津滨海云商,南京同曦,127,117,62,59,,213.5,244,YES
2017/12/19 19:35,山西汾酒股份,江苏肯帝亚,102,113,46,57,-2.5,220.5,215,NO
2017/12/20 19:35,山东高速,青岛国信双星,111,115,71,54,17.5,220.5,226,YES
2017/12/20 19:35,辽宁本钢,广州证券,99,111,51,63,13.5,209.5,210,YES
2017/12/20 19:35,深圳马可波罗,上海哔哩哔哩,90,71,45,41,9.5,210.5,161,NO
2017/12/21 19:35,浙江稠州银行,新疆喀什古城,124,110,58,41,2.5,219.5,234,YES
2017/12/21 19:35,八一双鹿电池,福建SBS,110,107,46,42,-5.5,201.5,217,YES
2017/12/21 19:35,江苏肯帝亚,北京农商银行,121,105,53,56,11.5,209.5,226,YES
2017/12/21 19:35,北京首钢,浙江广厦控股,97,103,48,54,-4.5,214.5,200,NO
2017/12/21 19:35,山西汾酒股份,南京同曦,104,115,50,57,7.5,227.5,219,NO
2017/12/21 19:35,四川品胜,九台农商银行,111,118,59,56,1.5,224.5,229,YES
2017/12/22 19:35,青岛国信双星,上海哔哩哔哩,111,118,53,59,-2.5,219.5,229,YES
2017/12/22 19:35,广州证券,深圳马可波罗,117,128,46,48,-2.5,212.5,245,YES
2017/12/22 19:35,山东高速,天津滨海云商,123,114,51,51,19.5,217.5,237,YES
2017/12/22 19:35,辽宁本钢,广东东莞银行,92,89,38,45,6.5,195.5,181,NO
2017/12/23 19:35,浙江稠州银行,八一双鹿电池,97,68,57,35,14.5,192.5,165,NO
2017/12/23 19:35,福建SBS,浙江广厦控股,81,103,33,53,-9.5,231.5,184,NO
2017/12/23 19:35,九台农商银行,新疆喀什古城,114,123,55,63,-6.5,231.5,237,YES
2017/12/23 19:35,北京农商银行,南京同曦,115,108,68,53,4.5,214.5,223,YES
2017/12/24 19:35,北京首钢,江苏肯帝亚,122,124,49,54,,197.5,246,YES
2017/12/24 19:35,深圳马可波罗,广东东莞银行,111,126,55,58,3.5,195.5,237,YES
2017/12/24 19:35,辽宁本钢,四川品胜,123,91,69,47,19.5,207.5,214,YES
2017/12/24 19:35,上海哔哩哔哩,广州证券,114,118,47,45,3.5,218.5,232,YES
2017/12/24 19:35,山西汾酒股份,山东高速,128,114,75,56,-2,228.5,242,YES
2017/12/24 19:35,青岛国信双星,天津滨海云商,135,115,63,54,15.5,224.5,250,YES
2017/12/26 19:35,浙江广厦控股,浙江稠州银行,119,111,62,51,10.5,219.5,230,YES
2017/12/26 19:35,北京首钢,南京同曦,105,92,49,45,10.5,199.5,197,NO
2017/12/26 19:35,八一双鹿电池,九台农商银行,108,97,53,58,,200.5,205,YES
2017/12/27 19:35,广州证券,广东东莞银行,101,113,54,54,-6.5,205.5,214,YES
2017/12/27 19:35,辽宁本钢,新疆喀什古城,127,113,65,48,8.5,215.5,240,YES
2017/12/27 19:35,上海哔哩哔哩,天津滨海云商,111,92,69,49,16.5,219.5,203,NO
2017/12/27 19:35,山西汾酒股份,青岛国信双星,122,109,52,50,8.5,234.5,231,NO
2017/12/28 19:35,四川品胜,深圳马可波罗,122,105,57,58,-7.5,226.5,227,YES
2017/12/28 19:35,山东高速,北京农商银行,127,90,60,36,8.5,218.5,217,NO
2017/12/28 19:35,江苏肯帝亚,福建SBS,130,112,59,61,9.5,227.5,242,YES
2017/12/29 19:35,广东东莞银行,上海哔哩哔哩,104,97,41,42,7.5,202.5,201,NO
2017/12/29 19:35,浙江广厦控股,九台农商银行,112,81,69,33,21.5,233.5,193,NO
2017/12/29 19:35,天津滨海云商,山西汾酒股份,108,117,50,64,-13.5,232.5,225,NO
2017/12/30 19:35,四川品胜,广州证券,104,107,48,55,-3.5,216.5,211,NO
2017/12/30 19:35,青岛国信双星,北京农商银行,98,118,42,64,-6.5,220.5,216,NO
2017/12/30 19:35,浙江稠州银行,江苏肯帝亚,112,105,49,47,3.5,214.5,217,YES
2017/12/30 20:00,新疆喀什古城,深圳马可波罗,102,94,44,53,5.5,220.5,196,NO
2017/12/31 19:35,八一双鹿电池,辽宁本钢,79,105,41,52,-15.5,185.5,184,NO
2017/12/31 19:35,山东高速,北京首钢,128,126,57,53,9,207,254,YES
2017/12/31 19:35,南京同曦,福建SBS,127,123,62,58,-7.5,234.5,250,YES
2018/1/2 19:35,四川品胜,广东东莞银行,101,115,52,60,-7.5,212.5,216,YES
