时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘
2018-02-06 18:00,首尔三星雷电,高阳猎户座,,,'','',,
2018-02-06 18:00,全州宙斯盾,釜山KTF魔翼,,,'','',,
2018-02-07 18:00,昌原LG猎隼,首尔SK骑士,,,'','',,
2018-02-07 18:00,仁川黑色撞击者,原州东浦新世代,,,'','',,
2018-02-08 18:00,高阳猎户座,釜山KTF魔翼,,,'','',,
2018-02-08 18:00,蔚山现代太阳神,安养人参,,,'','',,
2018-02-09 18:00,首尔三星雷电,全州宙斯盾,,,'','',,
2018-02-09 18:00,昌原LG猎隼,仁川黑色撞击者,,,'','',,
2018-02-10 14:00,高阳猎户座,首尔SK骑士,,,'','',,
2018-02-10 14:00,釜山KTF魔翼,安养人参,,,'','',,
2018-02-10 16:00,原州东浦新世代,蔚山现代太阳神,,,'','',,
2018-02-11 14:00,仁川黑色撞击者,全州宙斯盾,,,'','',,
2018-02-11 14:00,首尔三星雷电,昌原LG猎隼,,,'','',,
2018-02-11 16:00,安养人参,原州东浦新世代,,,'','',,
2018-02-13 18:00,首尔SK骑士,釜山KTF魔翼,,,'','',,
2018-02-13 18:00,蔚山现代太阳神,高阳猎户座,,,'','',,
2018-02-14 18:00,原州东浦新世代,首尔三星雷电,,,'','',,
2018-02-14 18:00,安养人参,仁川黑色撞击者,,,'','',,
2018-02-15 14:00,蔚山现代太阳神,全州宙斯盾,,,'','',,
2018-02-15 16:00,釜山KTF魔翼,昌原LG猎隼,,,'','',,
2018-02-16 14:00,首尔三星雷电,安养人参,,,'','',,
2018-02-16 16:00,仁川黑色撞击者,首尔SK骑士,,,'','',,
2018-02-17 14:00,高阳猎户座,原州东浦新世代,,,'','',,
2018-02-17 14:00,昌原LG猎隼,全州宙斯盾,,,'','',,
2018-02-17 16:00,蔚山现代太阳神,釜山KTF魔翼,,,'','',,
2018-02-18 14:00,安养人参,高阳猎户座,,,'','',,
2018-02-18 14:00,首尔SK骑士,首尔三星雷电,,,'','',,
2018-02-18 16:00,原州东浦新世代,仁川黑色撞击者,,,'','',,
2018-02-27 18:00,昌原LG猎隼,仁川黑色撞击者,,,'','',,
2018-02-28 18:00,首尔SK骑士,安养人参,,,'','',,
2018-02-28 18:00,釜山KTF魔翼,高阳猎户座,,,'','',,
